scenario,region,median_5yr_growth,p10_5yr_growth,p25_5yr_growth,p75_5yr_growth,p90_5yr_growth,prob_terminal_loss_10pct,prob_terminal_loss_5pct,p_normal_T60,p_stress_T60,p_boom_T60,mean_fs_T60,mean_rate_T60,mean_pstar_T60,p_star_base,alpha_used,r_bar,baseline_log_return_model,scenario_spread_pp
Stagflation,Northern Ireland,5.11,-8.41,-2.24,13.21,20.74,0.0748,0.1709,0.18,0.67,0.15,7.915,6.05,204102.13,204280.08,0.0,5.05,0.125,23.93
Baseline,Scotland,13.67,6.29,9.78,17.87,21.74,0.0,0.0004,0.45,0.35,0.2,7.215,5.05,210856.64,205296.26,0.0,5.05,0.125,29.36
Rate_Shock,Scotland,0.26,-7.82,-4.01,4.9,9.23,0.0519,0.2006,0.2,0.65,0.15,8.115,7.05,190125.79,205296.26,0.0,5.05,0.125,29.36
Recovery_Boom,Scotland,29.62,22.42,25.84,33.68,37.4,0.0,0.0,0.25,0.15,0.6,6.665,3.3,238161.51,205296.26,0.0,5.05,0.125,29.36
Soft_Landing,Scotland,22.71,15.51,18.93,26.78,30.53,0.0,0.0,0.55,0.2,0.25,6.865,3.8,226069.53,205296.26,0.0,5.05,0.125,29.36
Stagflation,Scotland,4.35,-3.41,0.26,8.8,12.92,0.0079,0.0615,0.18,0.67,0.15,7.915,6.05,195907.18,205296.26,0.0,5.05,0.125,29.36
Baseline,South East,11.47,4.19,7.55,15.6,19.4,0.0002,0.0006,0.45,0.35,0.2,7.215,5.05,426005.66,413824.36,0.0,5.05,0.125,28.95
Rate_Shock,South East,-3.56,-11.36,-7.77,0.93,5.09,0.1453,0.4073,0.2,0.65,0.15,8.115,7.05,376373.91,413824.36,0.0,5.05,0.125,28.95
Recovery_Boom,South East,25.39,18.4,21.63,29.33,32.93,0.0,0.0,0.25,0.15,0.6,6.665,3.3,488199.71,413824.36,0.0,5.05,0.125,28.95
Soft_Landing,South East,19.39,12.36,15.61,23.37,27.01,0.0,0.0,0.55,0.2,0.25,6.865,3.8,459564.05,413824.36,0.0,5.05,0.125,28.95
Stagflation,South East,0.75,-6.77,-3.31,5.06,9.04,0.0319,0.1665,0.18,0.67,0.15,7.915,6.05,388063.04,413824.36,0.0,5.05,0.125,28.95
Baseline,South West,11.97,4.69,8.12,16.01,19.78,0.0001,0.0004,0.45,0.35,0.2,7.215,5.05,338914.93,330665.77,0.0,5.05,0.125,34.89
Rate_Shock,South West,-4.9,-12.56,-8.97,-0.59,3.47,0.1981,0.4931,0.2,0.65,0.15,8.115,7.05,294819.87,330665.77,0.0,5.05,0.125,34.89
Recovery_Boom,South West,29.99,22.78,26.19,33.98,37.67,0.0,0.0,0.25,0.15,0.6,6.665,3.3,396930.23,330665.77,0.0,5.05,0.125,34.89
Soft_Landing,South West,21.99,14.84,18.21,25.95,29.63,0.0,0.0,0.55,0.2,0.25,6.865,3.8,370047.47,330665.77,0.0,5.05,0.125,34.89
Stagflation,South West,0.24,-7.21,-3.71,4.42,8.34,0.0383,0.1852,0.18,0.67,0.15,7.915,6.05,306528.94,330665.77,0.0,5.05,0.125,34.89
Baseline,Wales,11.08,0.25,5.35,17.35,23.15,0.0043,0.0267,0.45,0.35,0.2,7.215,5.05,232195.88,214267.68,0.0,5.05,0.125,28.86
Rate_Shock,Wales,-3.26,-14.9,-9.46,3.61,10.05,0.233,0.4266,0.2,0.65,0.15,8.115,7.05,204122.45,214267.68,0.0,5.05,0.125,28.86
Recovery_Boom,Wales,25.6,15.12,20.08,31.61,37.11,0.0,0.0002,0.25,0.15,0.6,6.665,3.3,268673.85,214267.68,0.0,5.05,0.125,28.86
Soft_Landing,Wales,19.52,8.98,13.96,25.58,31.14,0.0002,0.0004,0.55,0.2,0.25,6.865,3.8,252395.4,214267.68,0.0,5.05,0.125,28.86
Stagflation,Wales,1.23,-10.03,-4.75,7.83,13.97,0.1005,0.2418,0.18,0.67,0.15,7.915,6.05,211616.17,214267.68,0.0,5.05,0.125,28.86
Baseline,West Midlands,11.19,1.37,5.98,16.78,22.03,0.0014,0.0156,0.45,0.35,0.2,7.215,5.05,257358.21,236869.15,0.0,5.05,0.125,22.32
Rate_Shock,West Midlands,0.09,-10.83,-5.74,6.42,12.44,0.1183,0.278,0.2,0.65,0.15,8.115,7.05,232414.23,236869.15,0.0,5.05,0.125,22.32
Recovery_Boom,West Midlands,22.41,13.16,17.51,27.62,32.48,0.0,0.0001,0.25,0.15,0.6,6.665,3.3,288614.94,236869.15,0.0,5.05,0.125,22.32
Soft_Landing,West Midlands,17.54,8.16,12.57,22.85,27.81,0.0002,0.0002,0.55,0.2,0.25,6.865,3.8,274450.61,236869.15,0.0,5.05,0.125,22.32
Stagflation,West Midlands,3.16,-7.25,-2.39,9.14,14.81,0.0506,0.1602,0.18,0.67,0.15,7.915,6.05,238300.86,236869.15,0.0,5.05,0.125,22.32
Baseline,Yorkshire and The Humber,10.99,4.38,7.5,14.65,18.04,0.0,0.0002,0.45,0.35,0.2,7.215,5.05,226242.36,203085.95,0.0,5.05,0.125,31.650000000000002
Rate_Shock,Yorkshire and The Humber,-4.71,-11.75,-8.43,-0.76,2.92,0.1684,0.4811,0.2,0.65,0.15,8.115,7.05,196080.78,203085.95,0.0,5.05,0.125,31.650000000000002
Recovery_Boom,Yorkshire and The Humber,26.94,20.49,23.55,30.49,33.76,0.0,0.0,0.25,0.15,0.6,6.665,3.3,264179.3,203085.95,0.0,5.05,0.125,31.650000000000002
Soft_Landing,Yorkshire and The Humber,19.73,13.29,16.34,23.28,26.55,0.0,0.0,0.55,0.2,0.25,6.865,3.8,246362.64,203085.95,0.0,5.05,0.125,31.650000000000002
Stagflation,Yorkshire and The Humber,-0.44,-7.23,-4.03,3.34,6.87,0.0358,0.1965,0.18,0.67,0.15,7.915,6.05,203245.57,203085.95,0.0,5.05,0.125,31.650000000000002
