region,date,nominal_house_price,real_house_price,hpi_index,price_to_income_ratio_derived,price_to_income_ratio_official,mortgage_rate,base_rate,net_additions_monthly,gross_yield_pct,rental_index,real_monthly_rent,population,cpi,log_real_price,log_income,log_population,log_rent,log_supply,log_price_to_income,price_growth,price_growth_3m,price_growth_12m,mortgage_rate_lag1,base_rate_lag1,earnings_lag1,yield_lag1,mortgage_rate_lag3,supply_lag3,supply_lag6,supply_lag12,earnings_lag12,price_growth_lag1,earnings_lag1_diff,log_price_to_income_diff,base_rate_lag3,time_trend,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,regime_gfc,regime_stamp_duty,pti_lag12,pti_lag12_diff,affordability_gap,payment_burden,payment_burden_gap,price_to_rent,log_ptr,ptr_gap,lender_spread,lender_spread_lag3,high_rate_period,rate_x_high,rate_x_low,supply_smooth_12m,supply_gap,supply_gap_lag12,financial_stress,financial_stress_lag3,rent_extrapolated,approvals,approvals_lag1,approvals_growth,housing_starts,starts_lag6,starts_lag12,unemployment_rate,unemployment_diff,unemployment_lag1,transactions,transaction_growth,transactions_lag1,nominal_annual_earnings_asof,earnings_obs_date,real_annual_earnings,earnings_staleness_months,earnings_anchor_flag,earnings_interpolated_flag,log_income_asof,earnings_growth_12m,earnings_growth_12m_lag1,official_pti_anchor_flag,population_anchor_flag,supply_anchor_flag,earnings_growth_12m_lag1_is_interpolated,net_additions_monthly_is_interpolated
East Midlands,2005-01-01,130266.0,167992.387012987,,6.295780774249673,5.94,5.95,4.75,20436.84931506849,4.141316927575075,67.366293,582.7878311688312,4312194.19093028,77.0,12.031673941959736,10.191794251296844,15.276957425559308,6.367823194159394,9.92509488933796,1.8398796906628914,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3862940642594982,0.059928283926188,24.021375937686702,3.178944098012341,,1.2000000000000002,,1.0,,,,1120.8016671906553,,7.1400000000000015,,False,81665,,,40190.0,,,4.247570839281349,,,,,,20691.0,2004-12-01,26683.32857142857,1,False,True,10.191794251296844,,,False,False,False,True,True
East Midlands,2005-02-01,131704.0,169406.82901554403,,6.365279590159973,5.94,5.95,4.75,20668.712328767124,4.141316927575075,67.66862,583.8762823834197,4315667.383520752,77.2,12.040058373348254,10.189200216119797,15.277762536477724,6.369689115151986,9.936376354110584,1.8508581572284568,0.008384431388519,,,5.95,4.75,26771.28,4.141316927575075,,,,,,,,0.010978466565565448,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3892794495037124,0.0629136691704022,24.178470983044377,3.1854626084082684,,1.2000000000000002,,1.0,,,,1352.6646808892874,,7.1400000000000015,,False,86266,81665.0,,42353.333333333336,,,4.577172885088003,0.329602045806654,4.247570839281349,,,,20691.0,2004-12-01,26614.200777202073,2,False,True,10.189200216119797,,,False,False,False,True,True
East Midlands,2005-03-01,132038.0,169179.01161290324,,6.3814218742448405,5.94,5.95,4.75,20878.13698630137,4.141316927575075,67.667056,581.6033032258065,4318804.4606992435,77.5,12.038712673619065,10.185321736791227,15.278489176710762,6.365788605752367,9.94645781322181,1.8533909368278383,-0.0013456997291889,,,5.95,4.75,26789.64792746114,4.141316927575075,,,,,,0.008384431388519,18.367927461142244,0.002532779599381474,,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3891157928723587,0.0627500125390485,24.240321348842674,3.1880174180786978,,1.2000000000000002,,1.0,,,,1562.089338423535,,7.1400000000000015,,False,91673,86266.0,,44516.666666666664,,,4.304388228852333,-0.2727846562356699,4.577172885088003,,,,20691.0,2004-12-01,26511.17806451613,3,False,True,10.185321736791227,,,False,False,False,True,True
East Midlands,2005-04-01,133495.0,170386.29177377894,,6.451838963800687,5.94,5.95,4.75,21110.0,4.09038533111679,68.006653,582.2706940874036,4322277.653289716,77.8,12.045823442804314,10.181458241966181,15.279293055838792,6.366935449717069,9.957502140842369,1.8643652008381317,0.0071107691852496,0.0047165002815265,,5.95,4.75,26764.8735483871,4.141316927575075,5.95,20436.84931506849,,,,-0.0013456997291889,-24.774379074042372,0.010974264010293444,4.75,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.392129316050094,0.0657635357167838,24.38532076574602,3.193981343299245,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,1793.9523521221636,,7.1400000000000015,7.1400000000000015,False,98324,91673.0,,46680.0,,,4.381687841693847,0.0772996128415144,4.304388228852333,88840.0,,,20691.0,2004-12-01,26408.9498714653,4,False,True,10.181458241966181,,,False,False,True,True,False
East Midlands,2005-05-01,135007.0,171654.22663252242,,6.524914213909429,5.94,5.95,4.75,21272.739726027397,4.09038533111679,68.339258,582.8693854033291,4325638.807409528,78.1,12.053237422133645,10.177609616304888,15.28007038857653,6.367963122490762,9.96518170695284,1.8756278058287565,0.0074139793293301,0.0043930162617969,,5.95,4.75,26748.71413881748,4.09038533111679,5.95,20668.712328767124,,,,0.0071107691852496,-16.15940956962004,0.011262604990624814,4.75,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3953256877746444,0.0689599074413342,24.54155123646649,3.2003676498548814,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,1956.692078149561,,7.1400000000000015,7.1400000000000015,False,94694,98324.0,,46186.666666666664,,,4.2526563600120335,-0.1290314816818139,4.381687841693847,91030.0,,88840.0,20691.0,2004-12-01,26307.507042253525,5,False,True,10.177609616304888,,,False,False,False,True,True
East Midlands,2005-06-01,134528.0,171045.20358514728,,6.501764052003287,5.94,5.95,4.75,21440.90410958904,4.09038533111679,68.448071,583.7975416133163,4329112.0,78.1,12.049683149002057,10.177609616304888,15.280872998115315,6.369554247402783,9.973055783586172,1.8720735326971674,-0.0035542731315896,0.0036568251276634,,5.95,4.75,26729.88169014085,4.09038533111679,5.95,20878.13698630137,,,,0.0074139793293301,-18.8324486766287,-0.0035542731315891807,4.75,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3926493182008831,0.0662835378675729,24.415599500537216,3.195222251811272,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,2124.8564617112024,,7.1400000000000015,7.1400000000000015,False,94541,94694.0,,45693.333333333336,,,4.32306338668498,0.0704070266729468,4.2526563600120335,103700.0,,91030.0,20691.0,2004-12-01,26307.507042253525,6,False,True,10.177609616304888,,,False,True,False,True,True
East Midlands,2005-07-01,136194.0,172941.99744245523,,6.582282151660142,5.94,5.95,4.75,21603.64383561644,4.0487731034987915,68.562768,584.0287595907928,4329214.915068493,78.2,12.060711542363618,10.176330025599263,15.280896770622292,6.369950227490334,9.980617275538023,1.884381516764356,0.0110283933615633,0.0049626998531013,,5.95,4.75,26816.594366197187,4.09038533111679,5.95,21110.0,20436.84931506849,,,-0.0035542731315896,86.71267605633693,0.012307984067188693,4.75,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3962718738634104,0.0699060935301002,24.676581218881136,3.205854665085284,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,2287.5961877386035,,7.1400000000000015,7.1400000000000015,False,98678,94541.0,,45200.0,40190.0,,4.560909712994984,0.2378463263100032,4.32306338668498,107770.0,,103700.0,20691.0,2004-12-01,26273.865728900255,7,False,True,10.176330025599263,,,False,False,False,True,True
East Midlands,2005-08-01,137235.0,173819.33035714284,,6.6325938813977094,5.94,5.95,4.75,21771.80821917808,4.0487731034987915,68.697974,583.6914795918366,4332681.463226334,78.4,12.06577170747651,10.173775745794165,15.281697183878585,6.369372554864618,9.988371210916087,1.8919959616823445,0.0050601651128907,0.0041780951142881,,5.95,4.75,26866.110230179027,4.0487731034987915,5.95,21272.739726027397,20668.712328767124,,,0.0110283933615633,49.51586398184008,0.007614444917988461,4.75,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3980177875053882,0.0716520071720779,24.8160966929954,3.211492502823892,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,2455.760571300245,,7.1400000000000015,7.1400000000000015,False,102854,98678.0,,44076.666666666664,42353.333333333336,,4.487690141246996,-0.0732195717479875,4.560909712994984,107040.0,,107770.0,20691.0,2004-12-01,26206.840561224486,8,False,True,10.173775745794165,,,False,False,False,True,True
East Midlands,2005-09-01,136141.0,171994.92748091603,,6.5797206514909865,5.94,5.7,4.5,21939.972602739726,4.0487731034987915,68.737865,582.5473664122138,4336148.011384175,78.6,12.055220263970687,10.171227973715366,15.282496956985849,6.367410497863033,9.996065485092789,1.8839922902553206,-0.0105514435058218,0.001845704989544,,5.95,4.75,26883.95510204081,4.0487731034987915,5.95,21440.90410958904,20878.13698630137,,,0.0050601651128907,17.84487186178376,-0.008003671427023962,4.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.3842754857567663,0.0579097054234561,24.60385446711919,3.2029031163196535,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,2623.92495486189,,6.840000000000002,7.1400000000000015,False,103906,102854.0,,42953.333333333336,44516.666666666664,,4.401870892637833,-0.0858192486091633,4.487690141246996,107710.0,,107040.0,20691.0,2004-12-01,26140.15648854962,9,False,True,10.171227973715366,,,False,False,False,True,True
East Midlands,2005-10-01,137315.0,173257.68106734433,,6.636460296747378,5.94,5.7,4.5,22102.712328767124,4.0505870320930315,68.953526,583.6240787801778,4339502.735407892,78.7,12.062535251234422,10.16995651772717,15.283270322417176,6.3692570748450965,10.003455609783623,1.8925787335072517,0.0073149872637348,0.0006079029569345,,5.7,4.5,26901.709160305345,4.0487731034987915,5.95,21603.64383561644,21110.0,,,-0.0105514435058218,17.75405826453425,0.008586443251931142,4.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.3863916333284991,0.0600258529951889,24.73876698014629,3.208371526601325,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,2786.6646808892874,,6.840000000000002,7.1400000000000015,False,109583,103906.0,,41830.0,46680.0,,4.3522782270912765,-0.0495926655465561,4.401870892637833,100650.0,,107710.0,20691.0,2004-12-01,26106.941550190593,10,False,True,10.16995651772717,,,False,False,False,True,True
East Midlands,2005-11-01,137311.0,173252.6340533672,,6.636266975979894,5.94,5.7,4.5,22270.87671232877,4.0505870320930315,69.021462,584.2044853875476,4342969.283565733,78.7,12.062506120707813,10.16995651772717,15.284068838861446,6.3702510677529025,10.01103512689139,1.8925496029806426,-2.91305266095776e-05,-0.0010885289228988,,5.7,4.5,26950.80228716645,4.0505870320930315,5.95,21771.80821917808,21272.739726027397,,,0.0073149872637348,49.0931268611057,-2.913052660913351e-05,4.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.3851506249585163,0.0587848446252061,24.713469111538267,3.20734840316691,,1.2000000000000002,1.2000000000000002,1.0,5.95,0.0,,2954.8290644509325,,6.840000000000002,7.1400000000000015,False,111981,109583.0,,44440.0,46186.666666666664,,4.418544408905545,0.0662661818142682,4.3522782270912765,103570.0,,100650.0,20691.0,2004-12-01,26106.941550190593,11,False,True,10.16995651772717,,,False,False,False,True,True
East Midlands,2005-12-01,137021.0,172448.48288973383,,6.374848795012562,6.07,5.7,4.5,22433.616438356163,4.0505870320930315,69.162152,583.9066539923954,4346324.00758945,78.9,12.0578538209342,10.205493448600397,15.284840990077427,6.369741130998486,10.01831584672265,1.8523603723338014,-0.004652299773614,0.0008778523211703,,5.7,4.5,27036.85387547649,4.0505870320930315,5.7,21939.972602739726,21440.90410958904,,,-2.91305266095776e-05,86.05158831003791,-0.04018923064684121,4.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.3831570340366865,0.0567912537033762,24.61130868987319,3.203206040147711,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,21494.164383561645,3117.5687904783263,,6.840000000000002,6.840000000000002,False,123159,111981.0,,47050.0,45693.333333333336,,4.6090264453169345,0.1904820364113897,4.418544408905545,115150.0,,103570.0,21494.0,2005-12-01,27051.38403041825,0,True,False,10.205493448600397,,,True,False,False,False,True
East Midlands,2006-01-01,135237.0,171070.49808917198,,6.291848888061785,6.07,5.7,4.5,22601.780821917808,4.125599805408752,69.476355,589.5510573248407,4349790.555747291,78.5,12.049831020052387,10.210576051663862,15.285638253801638,6.379361327464956,10.025783979586016,1.8392549683885242,-0.008022800881811,-0.0042347437273448,0.0015130898410543,5.7,4.5,27051.38403041825,4.0505870320930315,5.7,22102.712328767124,21603.64383561644,20436.84931506849,26771.28,-0.004652299773614,14.530154941759974,-0.01310540394527715,4.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8365889918704563,,,0.3774941491333332,0.051128368800023,24.180899455005797,3.1855630427994304,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,21674.575342465756,3285.7331740399713,1120.8016671906553,6.840000000000002,6.840000000000002,False,119800,123159.0,0.4669687136472173,49660.0,45200.0,40190.0,4.591024928922585,-0.0180015163943494,4.6090264453169345,83980.0,,115150.0,21494.0,2005-12-01,27189.225477707005,1,False,True,10.210576051663862,0.01895928781614331,,False,False,False,True,True
East Midlands,2006-02-01,135594.0,170869.0888324873,,6.308458174374243,6.07,5.7,4.5,22769.945205479453,4.125599805408752,69.493328,587.4577918781725,4353257.103905132,78.8,12.048652979909154,10.206761679588393,15.28643488240273,6.375804399825817,10.033196752620084,1.8418913003207606,-0.0011780401432339,-0.004617713599553,0.0007162172134083,5.7,4.5,27237.786392112383,4.125599805408752,5.7,22270.87671232877,21771.80821917808,20668.712328767124,26789.64792746114,-0.008022800881811,186.402361694134,0.0026363319322364465,4.5,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8442875528346965,0.0076985609642401,,0.3778170704673944,0.0514512901340841,24.23849156977991,3.1879419302953353,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,21849.67808219178,3453.8975576016164,1352.6646808892874,6.840000000000002,6.840000000000002,False,114048,119800.0,0.3220504022442214,47760.0,44076.666666666664,42353.333333333336,4.775600385854034,0.1845754569314488,4.591024928922585,87550.0,,83980.0,21494.0,2005-12-01,27085.713197969544,2,False,True,10.206761679588393,0.017716572619057347,0.01895928781614331,False,False,False,True,True
East Midlands,2006-03-01,136176.0,171385.00380228137,,6.33553549827859,6.07,5.7,4.5,22921.835616438355,4.125599805408752,69.624162,587.8081749049429,4356388.179660602,78.9,12.05166778891604,10.205493448600397,15.287153872852608,6.376400661518156,10.039845255599046,1.8461743403156439,0.0030148090068866,-0.0020620106727194,0.0010795929414146,5.7,4.5,27182.46527362492,4.125599805408752,5.7,22433.616438356163,21939.972602739726,20878.13698630137,26764.8735483871,-0.0011780401432339,-55.321118487463536,0.00428303999488322,4.5,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8438670553165828,-0.0004204975181136,,0.3788297960621592,0.052464015728849,24.29718445562574,3.1903604776098846,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,22019.986301369863,3605.7879685605185,1562.089338423535,6.840000000000002,6.840000000000002,False,117467,114048.0,0.2813696508241248,45860.0,42953.333333333336,44516.666666666664,5.01822707025694,0.2426266844029063,4.775600385854034,112090.0,,87550.0,21494.0,2005-12-01,27051.38403041825,3,False,True,10.205493448600397,0.020376535685721064,0.017716572619057347,False,False,False,True,True
East Midlands,2006-04-01,140034.0,175130.68261964733,,6.5150274495207965,6.07,5.7,4.5,23090.0,4.009211727127538,69.749256,585.1571410579344,4359854.7278184425,79.4,12.073287732047312,10.199176308199135,15.28794929546242,6.371880428353768,10.047154902348542,1.8741114238481777,0.021619943131272,0.0078189039983082,0.0022886907702498,5.7,4.5,27191.652586072192,4.125599805408752,5.7,22601.780821917808,22102.712328767124,21110.0,26748.71413881748,0.0030148090068866,9.187312447273143,0.02793708353253388,4.5,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851581761212457,0.0077147058958741,,0.3888714613964474,0.0625056810631372,24.94069118809977,3.2165006539055447,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,22184.986301369863,3773.952352122163,1793.9523521221636,6.840000000000002,6.840000000000002,False,110665,117467.0,0.1255136080712746,43960.0,41830.0,46680.0,5.2134476319307455,0.1952205616738052,5.01822707025694,101830.0,0.1462179198559208,112090.0,21494.0,2005-12-01,26881.035264483624,4,False,True,10.199176308199135,0.017875962327771777,0.020376535685721064,False,False,True,True,False
East Midlands,2006-05-01,139736.0,173664.3904881101,,6.501163115287987,6.07,5.7,4.5,22968.35616438356,4.009211727127538,69.920199,582.9245556946182,4363209.451842159,79.9,12.064879925387126,10.192898823679997,15.288718457334902,6.368057770934858,10.04187272866358,1.8719811017071302,-0.0084078066601858,0.0054089818259909,0.0009702086044568,5.7,4.5,27068.430992719364,4.009211727127538,5.7,22769.945205479453,22270.87671232877,21272.739726027397,26729.88169014085,0.021619943131272,-123.22159335282775,-0.0021303221410475803,4.5,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.859700039118187,0.00811827790573,,0.3873790029603745,0.0610132226270642,24.82659616805958,3.211915504664269,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,22326.287671232876,3652.308516505724,1956.692078149561,6.840000000000002,6.840000000000002,False,115517,110665.0,0.219897775994255,43036.666666666664,44440.0,46186.666666666664,5.567364147190573,0.3539165152598276,5.2134476319307455,113160.0,0.2431066681313851,101830.0,21494.0,2005-12-01,26712.81852315394,5,False,True,10.192898823679997,0.015406685257155939,0.017875962327771777,False,False,False,True,True
East Midlands,2006-06-01,140998.0,174795.2734082397,,6.559877175025588,6.07,5.7,4.5,22842.657534246577,4.009211727127538,69.893959,581.2459176029963,4366676.0,80.1,12.071370701839356,10.190398822377912,15.289512636905568,6.365173933398185,10.03638501139038,1.880971879461444,0.0064907764522299,0.0065676376411053,0.0018072960697751,5.7,4.5,26945.21256364977,4.009211727127538,5.7,22921.835616438355,22433.616438356163,21440.90410958904,26816.594366197187,-0.0084078066601858,-123.218429069595,0.008990777754313894,4.5,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8529069813553016,-0.0067930577628854,,0.3901866685239565,0.0638208881906463,25.060430263475947,3.2212901186531706,,1.2000000000000002,1.2000000000000002,1.0,5.7,0.0,22443.100456621003,3526.6098863687403,2124.8564617112024,6.840000000000002,6.840000000000002,False,118476,115517.0,0.2531705820755017,42113.333333333336,47050.0,45693.333333333336,5.502931144474062,-0.0644330027165107,5.567364147190573,135030.0,0.3021215043394407,113160.0,21494.0,2005-12-01,26646.119850187268,6,False,True,10.190398822377912,0.012871337728424193,0.015406685257155939,False,True,False,True,True
